"","id","ko"
"1030","ko04621","K15040"
"1031","ko04621","K15041"
"1032","ko04621","K20858"
"1033","ko04621","K14216"
"1034","ko04621","K01165"
"1035","ko04621","K17820"
"1036","ko04621","K21356"
"1037","ko04621","K06030"
"1038","ko04621","K02861"
"1039","ko04621","K08847"
"1040","ko04621","K17065"
"1041","ko04621","K03462"
"1042","ko04621","K21421"
"1043","ko04621","K08009"
"1044","ko04621","K20910"
"1045","ko04621","K03671"
"1046","ko04621","K20876"
"1047","ko04621","K11864"
"1048","ko04621","K04079"
"1049","ko04621","K12801"
"1050","ko04621","K12802"
"1051","ko04621","K20911"
"1052","ko04621","K12803"
"1053","ko04621","K12804"
"1054","ko04621","K04398"
"1055","ko04621","K02373"
"1056","ko04621","K04741"
"1057","ko04621","K12806"
"1058","ko04621","K20863"
"1059","ko04621","K20864"
"1060","ko04621","K08598"
"1061","ko04621","K20865"
"1062","ko04621","K02406"
"1063","ko04621","K12807"
"1064","ko04621","K12805"
"1065","ko04621","K06068"
"1066","ko04621","K20897"
"1067","ko04621","K20898"
"1068","ko04621","K12966"
"1069","ko04621","K20914"
