"","log2FoldChange","padj"
"KXJ06173.1",0.928528179423175,0.000999687204547721
"KXJ06177.1",-0.405272180018581,0.0335765350139477
"KXJ06178.1",2.73332360394415,0.0414818711763324
"KXJ06179.1",2.99877745490731,0.0220968373440047
"KXJ06186.1",-1.00516849764842,0.00672562420364389
"KXJ06216.1",0.892418038451022,0.00153417856922849
"KXJ06231.1",-2.2895351278974,1.90676413051092e-06
"KXJ06232.1",0.75122981301483,0.0184107858543362
"KXJ06236.1",0.850063928967743,0.0143203655201998
"KXJ06249.1",0.966468495489822,0.0424843986826459
"KXJ06267.1",-0.791808470133851,0.0471186105670872
"KXJ06269.1",-2.31477755671056,0.00209198407548439
"KXJ06279.1",-1.18840996557049,0.00570199598902339
"KXJ06281.1",6.30004191586445,0.0131575030954696
"KXJ06283.1",1.30138491971801,0.0120820324443675
"KXJ06288.1",1.6855767780147,0.00952257139728658
"KXJ06290.1",2.01941101371237,0.000320723140877784
"KXJ06308.1",-1.38848383765833,0.0307508758230453
"KXJ06354.1",4.0433245358161,0.0108523769651367
"KXJ06366.1",0.932585357374304,0.0442543802830746
"KXJ06389.1",1.78777848927817,0.000630631664080766
"KXJ06412.1",-0.947817410540236,0.0385883300074352
"KXJ06413.1",-1.0162755173094,0.00264311971094959
"KXJ06414.1",1.42043895130557,0.0313008970351471
"KXJ06424.1",2.10626812566703,0.000159224770446031
"KXJ06431.1",0.571741340689088,0.00596818440864219
"KXJ06436.1",1.90418616664652,0.0424843986826459
"KXJ06443.1",3.11643236263435,0.00690216185604585
"KXJ06449.1",-1.95205742269436,0.0030525884432049
"KXJ06496.1",2.80374886602227,0.00339525564826534
"KXJ06498.1",1.62474000904984,0.0321804435280357
"KXJ06534.1",-1.60225548110149,0.0270812347156016
"KXJ06572.1",1.12912885583803,0.0385404071230429
"KXJ06573.1",1.08077025112427,3.35207747527919e-07
"KXJ06574.1",1.48915372421448,0.0322341701877123
"KXJ06580.1",0.894490862332859,0.0101908822029952
"KXJ06586.1",2.16478064530592,0.000737237382331671
"KXJ06610.1",3.05128459066087,0.00138245015011985
"KXJ06627.1",1.90233940359485,0.00163980939953811
"KXJ06635.1",2.21088347430856,0.00744254237044415
"KXJ06643.1",3.37477051888382,0.000271568520488206
"KXJ06656.1",1.84202491403925,0.00326553901258758
"KXJ06674.1",3.58225986458666,1.03386141445006e-05
"KXJ06680.1",1.03554483703196,0.0301783511747423
"KXJ06695.1",3.80097433893885,0.00463941136116444
"KXJ06696.1",1.52197420333403,0.031981587617376
"KXJ06701.1",1.70329512426346,0.00973811767704054
"KXJ06712.1",0.696016155314373,0.0480045946098361
"KXJ06714.1",3.9647512197179,0.0122426859179251
"KXJ06736.1",1.95200182841956,0.011494433392012
"KXJ06757.1",3.57385609129976,0.00550039702641122
"KXJ06793.1",1.62104503675078,0.000103144675343959
"KXJ06804.1",-1.55597291216359,0.0063097510000442
"KXJ06805.1",-2.01846295472388,0.00036745288228234
"KXJ06839.1",4.98495503937183,2.36543797438254e-10
"KXJ06846.1",1.71533674442695,0.00128014825774704
"KXJ06849.1",1.88794457528596,0.000229075792865817
"KXJ06853.1",2.45747766938286,4.08993757211369e-05
"KXJ06862.1",0.951439165868853,0.000808262928507463
"KXJ06873.1",-3.1330636993863,0.0131452101807315
"KXJ06879.1",2.85947590952336,0.000545257766657081
"KXJ06897.1",2.68648980515669,0.0372577320552713
"KXJ06907.1",0.589181883936253,0.0457430494866327
"KXJ06911.1",2.03794365059037,0.0479604633720822
"KXJ06943.1",-0.582265791272539,0.0192350275866523
"KXJ06944.1",-1.21661225975758,0.0488074041507927
"KXJ06945.1",-0.915308730830328,0.00787818506264974
"KXJ06954.1",2.30150830910442,0.0328809257704025
"KXJ06956.1",3.54281183725619,0.0231783368660296
"KXJ06961.1",2.44491887543697,2.63227321729578e-05
"KXJ06963.1",1.47368496752317,0.00361797182250173
"KXJ06978.1",2.91917948698155,0.0174384573637868
"KXJ06999.1",1.68849758980671,0.00800303680184005
"KXJ07017.1",-1.8355011669659,0.00440334800870296
"KXJ07018.1",-1.76452660366987,0.0401945999265025
"KXJ07019.1",1.93053326118252,1.36584911887766e-05
"KXJ07025.1",-0.898624973917499,0.0184800841573432
"KXJ07042.1",1.27095537970654,0.00481799802431908
"KXJ07043.1",1.09297435065771,0.0154910146289505
"KXJ07044.1",2.06238838418125,0.00103433218605776
"KXJ07050.1",-0.984181440984296,0.0347740481760796
"KXJ07063.1",2.1106383536466,0.0336511702719014
"KXJ07066.1",3.15746776594637,4.20265684232775e-05
"KXJ07080.1",1.47163454088474,0.0158191977268604
"KXJ07090.1",-1.12722300088579,0.0197442242090386
"KXJ07093.1",2.08541748769589,0.0126608119620048
"KXJ07123.1",-1.27880691072398,0.049724117749498
"KXJ07176.1",0.887016163295104,0.0453056156010616
"KXJ07178.1",1.14467116401309,0.000385464818199738
"KXJ07185.1",2.0596198044969,0.00933163710862891
"KXJ07193.1",-1.48113549263736,0.0269012364729159
"KXJ07194.1",2.32182054381089,0.0254203820458566
"KXJ07219.1",-0.962619579417093,0.00363128045366349
"KXJ07261.1",-1.49905966144964,0.0253697681055145
"KXJ07281.1",-1.0382185054342,0.000282006045908034
"KXJ07325.1",1.7279587431417,0.0433455302672451
"KXJ07333.1",-1.43078804141815,0.0482676474700675
"KXJ07369.1",2.63121970539969,0.0324161009250955
"KXJ07389.1",1.92976465579441,0.000900837243450261
"KXJ07391.1",2.01181092005061,0.00635414228089366
