"","log2FoldChange","padj","Factor"
"KXJ04618.1",3.45666431383462,2.52377825547448e-17,"Intercept"
"KXJ04622.1",2.38779269179024,2.28298628981216e-07,"Intercept"
"KXJ04626.1",4.43078375486316,2.83399494523913e-33,"Intercept"
"KXJ04631.1",6.25326272438064,1.12284814515487e-88,"Intercept"
"KXJ04637.1",1.53235898605932,0.0174129630442628,"Intercept"
"KXJ04641.1",2.51490577893037,2.34733744673606e-06,"Intercept"
"KXJ04644.1",2.94741359841654,2.62772312505203e-10,"Intercept"
"KXJ04646.1",5.3306964730919,7.36842069314822e-113,"Intercept"
"KXJ04647.1",1.76754963785574,0.000389412759487035,"Intercept"
"KXJ04648.1",1.59547396822971,0.0113022433173719,"Intercept"
"KXJ04649.1",3.09285526174798,9.50241697879888e-09,"Intercept"
"KXJ04650.1",5.02249994293657,9.4602158310135e-158,"Intercept"
"KXJ04651.1",1.42131534015393,0.00712006612104526,"Intercept"
"KXJ04652.1",5.4053616595161,1.22011054252478e-77,"Intercept"
"KXJ04654.1",1.93084167395648,0.000852683862384308,"Intercept"
"KXJ04655.1",2.3335656127323,2.23463040926442e-06,"Intercept"
"KXJ04657.1",2.23950219346435,1.39522007336452e-07,"Intercept"
"KXJ04658.1",3.56337706879035,3.16872774918158e-44,"Intercept"
"KXJ04659.1",6.13237374282452,4.64318495881181e-46,"Intercept"
"KXJ04660.1",8.63716266741756,3.51139561413976e-216,"Intercept"
"KXJ04661.1",6.32986471269225,1.40917329779325e-276,"Intercept"
"KXJ04664.1",2.57361384118484,0.00648647275562377,"Intercept"
"KXJ04665.1",1.30109240723723,0.0325855710020567,"Intercept"
"KXJ04666.1",8.36647821694213,0,"Intercept"
"KXJ04668.1",4.28907570659456,3.24635868589252e-06,"Intercept"
"KXJ04672.1",4.15827339441671,0.00105729492523037,"Intercept"
"KXJ04673.1",2.26591793393001,2.05570967868333e-06,"Intercept"
"KXJ04675.1",3.64310820267885,7.18550396015069e-37,"Intercept"
"KXJ04676.1",1.3773303216713,0.0398370448863569,"Intercept"
"KXJ04680.1",3.89047225594797,1.39330038348407e-46,"Intercept"
"KXJ04682.1",7.69528939882425,3.30516096392966e-129,"Intercept"
"KXJ04684.1",4.50563574583917,5.19722457823485e-27,"Intercept"
"KXJ04686.1",2.13742661055606,0.00260514437432101,"Intercept"
"KXJ04687.1",1.54561535847489,0.00627286394985069,"Intercept"
"KXJ04690.1",3.60972978294531,6.19128752241641e-17,"Intercept"
"KXJ04695.1",2.02607659559536,0.000272815255450095,"Intercept"
"KXJ04699.1",2.59737236043411,3.78050426588142e-09,"Intercept"
"KXJ04700.1",2.78094987969229,2.55569466514634e-09,"Intercept"
"KXJ04701.1",5.52274131442147,4.5786178000087e-137,"Intercept"
"KXJ04704.1",1.63330563983428,0.0196452200139654,"Intercept"
"KXJ04709.1",1.82459524649889,1.7868940447833e-05,"Intercept"
"KXJ04714.1",3.41556998375742,3.06288656713037e-21,"Intercept"
"KXJ04715.1",4.5193049220438,3.81633741281793e-93,"Intercept"
"KXJ04716.1",1.42172136113569,0.00716739131725978,"Intercept"
"KXJ04718.1",2.50011943292606,1.32333834947887e-07,"Intercept"
"KXJ04721.1",2.94524581435314,4.37865016157032e-05,"Intercept"
"KXJ04725.1",6.67076137068836,0,"Intercept"
"KXJ04732.1",3.12453173098045,1.53793807568274e-10,"Intercept"
"KXJ04736.1",3.22876092857198,3.11835950962109e-05,"Intercept"
"KXJ04738.1",4.9913829357003,3.39917610491886e-34,"Intercept"
"KXJ04740.1",9.16999241745727,1.43973809977879e-270,"Intercept"
"KXJ04742.1",4.40066327110013,2.1887524425143e-87,"Intercept"
"KXJ04750.1",3.51044247485274,1.08721853656083e-33,"Intercept"
"KXJ04751.1",2.58985960597277,9.41121288590701e-14,"Intercept"
"KXJ04753.1",5.31958644637981,9.45220427925335e-14,"Intercept"
"KXJ04754.1",2.2295793030366,5.70562062863302e-10,"Intercept"
"KXJ04755.1",7.08997476294158,1.06963231743609e-144,"Intercept"
"KXJ04756.1",1.80723827001932,0.00883889934355433,"Intercept"
"KXJ04759.1",4.43632456625783,3.79423571483572e-09,"Intercept"
"KXJ04760.1",9.55790555139232,3.95665007103563e-168,"Intercept"
"KXJ04761.1",3.67031529597357,6.8674435528253e-40,"Intercept"
"KXJ04765.1",2.87233162280423,8.66698309670731e-11,"Intercept"
"KXJ04767.1",4.09358943655613,5.11449672330141e-41,"Intercept"
"KXJ04768.1",1.11859761161529,0.0229009456179782,"Intercept"
"KXJ04769.1",2.36481356732013,0.000311576591064107,"Intercept"
"KXJ04771.1",5.24571390560933,1.01802275220714e-80,"Intercept"
"KXJ04772.1",2.97038989548905,1.78302289992838e-05,"Intercept"
"KXJ04785.1",3.29902983619067,1.30798053160569e-37,"Intercept"
"KXJ04786.1",7.33219434678269,2.16499311518361e-262,"Intercept"
"KXJ04787.1",1.56880215044336,0.00824191893577363,"Intercept"
"KXJ04789.1",2.39149440658987,8.50427872509661e-10,"Intercept"
"KXJ04790.1",3.5063939013396,2.26980874608373e-21,"Intercept"
"KXJ04792.1",2.6354939180357,4.61624992740115e-05,"Intercept"
"KXJ04793.1",6.75656864913676,2.00167966745826e-113,"Intercept"
"KXJ04795.1",1.98988462202314,0.0384456952536189,"Intercept"
"KXJ04797.1",2.57677280765927,3.75183035824205e-10,"Intercept"
"KXJ04799.1",3.46169435177508,5.09873452622442e-17,"Intercept"
"KXJ04801.1",5.41165530506258,4.85823405809009e-28,"Intercept"
"KXJ04803.1",2.12954828318899,8.52275833518445e-07,"Intercept"
"KXJ04809.1",4.18669612337025,1.31147858335881e-43,"Intercept"
"KXJ04811.1",6.3399016844707,2.20042798955878e-55,"Intercept"
"KXJ04812.1",4.81634447985907,3.51602798254799e-94,"Intercept"
"KXJ04814.1",3.2026707572248,2.94450674340587e-13,"Intercept"
"KXJ04815.1",2.0393528895418,0.00229549457417246,"Intercept"
"KXJ04816.1",8.14781317527838,2.89151371285144e-298,"Intercept"
"KXJ04818.1",1.97849749228065,3.05504132880361e-06,"Intercept"
"KXJ04820.1",1.4037682470897,0.0192692796204025,"Intercept"
"KXJ04821.1",4.74485560222062,3.86423516131019e-41,"Intercept"
"KXJ04822.1",4.62705506690754,2.61992205159318e-56,"Intercept"
"KXJ04823.1",3.78003560946496,0.000147854730905996,"Intercept"
"KXJ04825.1",8.29431715604294,0,"Intercept"
"KXJ04826.1",1.76348810348809,0.01794939629261,"Intercept"
"KXJ04829.1",2.74853474251597,6.16429840480134e-09,"Intercept"
"KXJ04830.1",2.18574323517839,0.000724101704512945,"Intercept"
"KXJ04835.1",3.2200279974246,1.62012002726957e-26,"Intercept"
"KXJ04836.1",3.03708648017099,1.8531293723357e-15,"Intercept"
"KXJ04837.1",7.61593369073348,0,"Intercept"
"KXJ04840.1",3.71670611169273,6.69709890118564e-11,"Intercept"
