"id","ko"
"ko05203","K02091"
"ko05203","K06627"
"ko05203","K03875"
"ko05203","K16174"
"ko05203","K03172"
"ko05203","K03173"
"ko05203","K03174"
"ko05203","K09849"
"ko05203","K11218"
"ko05203","K05854"
"ko05203","K05855"
"ko05203","K21812"
"ko05203","K21807"
"ko05203","K21809"
"ko05203","K02146"
"ko05203","K10587"
"ko05203","K12076"
"ko05203","K16175"
"ko05203","K05760"
"ko05203","K14021"
"ko05203","K05411"
"ko05203","K03062"
"ko05203","K06618"
"ko05203","K04681"
"ko05203","K16332"
"ko05203","K06624"
"ko05203","K10691"
"ko05203","K04448"
"ko05203","K11643"
"ko05203","K06067"
"ko05203","K11404"
"ko05203","K11406"
"ko05203","K11407"
"ko05203","K11408"
"ko05203","K11405"
"ko05203","K11409"
"ko05203","K18671"
"ko05203","K11418"
"ko05203","K00873"
"ko05203","K04693"
"ko05203","K09504"
"ko05203","K21857"
"ko05203","K06062"
"ko05203","K03122"
"ko05203","K03123"
"ko05203","K04378"
"ko05203","K07210"
"ko05203","K04734"
"ko05203","K08053"
"ko05203","K04393"
"ko05203","K04392"
"ko05203","K04513"
"ko05203","K05768"
"ko05203","K05699"
"ko05203","K02089"
"ko05203","K06621"
"ko05203","K04685"
"ko05203","K02216"
"ko05203","K03363"
"ko05203","K06638"
"ko05203","K15305"
"ko05203","K15306"
"ko05203","K02330"
"ko05203","K21653"
"ko05203","K21654"
"ko05203","K21652"
"ko05203","K21858"
"ko05203","K21859"
"ko05203","K21650"
"ko05203","K21670"
"ko05203","K21659"
"ko05203","K21657"
"ko05203","K21658"
"ko05203","K21656"
"ko05203","K21662"
"ko05203","K21661"
"ko05203","K21664"
"ko05203","K21663"
"ko05203","K21660"
"ko05203","K21649"
"ko05203","K21665"
"ko05203","K21666"
"ko05203","K21667"
"ko05203","K21669"
"ko05203","K21651"
"ko05203","K21860"
"ko05203","K21861"
"ko05203","K09447"
"ko05203","K05060"
"ko05203","K04180"
"ko05203","K04183"
"ko05203","K04178"
"ko05203","K04179"
"ko05203","K04443"
"ko05203","K04398"
"ko05203","K02158"
"ko05203","K10131"
"ko05203","K03990"
"ko05203","K06751"
"ko04512","K06236"
"ko04512","K19719"
"ko04512","K06237"
"ko04512","K06238"
"ko04512","K08131"
"ko04512","K05637"
"ko04512","K06240"
"ko04512","K06241"
"ko04512","K05636"
"ko04512","K06243"
"ko04512","K06244"
"ko04512","K06245"
"ko04512","K05635"
"ko04512","K06246"
"ko04512","K06247"
"ko04512","K06248"
"ko04512","K06249"
"ko04512","K16857"
"ko04512","K04659"
"ko04512","K05717"
"ko04512","K06250"
"ko04512","K06251"
"ko04512","K06252"
"ko04512","K03900"
"ko04512","K06253"
"ko04512","K06254"
"ko04512","K06255"
"ko04512","K06480"
"ko04512","K06481"
"ko04512","K06476"
"ko04512","K06482"
"ko04512","K06483"
"ko04512","K06484"
"ko04512","K06485"
"ko04512","K06583"
"ko04512","K06584"
"ko04512","K06585"
"ko04512","K06586"
"ko04512","K06587"
"ko04512","K06487"
"ko04512","K05719"
"ko04512","K06493"
"ko04512","K06525"
"ko04512","K06588"
"ko04512","K06589"
"ko04512","K06590"
"ko04512","K06591"
"ko04512","K06256"
"ko04512","K06257"
"ko04512","K16338"
"ko04512","K06258"
"ko04512","K06259"
"ko04512","K06260"
"ko04512","K06261"
"ko04512","K06262"
"ko04512","K06263"
"ko04512","K06264"
"ko04512","K06265"
"ko04512","K06266"
"ko04512","K06267"
"ko04972","K04131"
"ko04972","K04194"
"ko04972","K04634"
"ko04972","K05858"
"ko04972","K02677"
"ko04972","K19662"
"ko04972","K19663"
"ko04972","K07884"
"ko04972","K07901"
"ko04972","K07904"
"ko04972","K07886"
"ko04972","K04353"
"ko04972","K07836"
"ko04972","K04513"
"ko04972","K04392"
"ko04972","K01312"
"ko04972","K09632"
"ko04972","K01346"
"ko04972","K01345"
"ko04972","K08779"
"ko04972","K01298"
"ko04972","K08780"
"ko04972","K01291"
"ko04972","K01300"
"ko04972","K14073"
"ko04972","K14074"
"ko04972","K14075"
"ko04972","K12298"
"ko04972","K01047"
"ko04972","K04958"
"ko04972","K04959"
"ko04972","K04960"
"ko04972","K04962"
"ko04972","K01242"
"ko04972","K18152"
"ko04972","K14077"
"ko04972","K05853"
"ko04972","K05027"
"ko04972","K05028"
"ko04972","K05030"
"ko04972","K04964"
"ko04972","K10951"
"ko04972","K01539"
"ko04972","K01540"
"ko04972","K01538"
"ko04972","K04926"
"ko04972","K04936"
"ko04972","K05850"
"ko04972","K05742"
"ko04972","K13855"
"ko04972","K04588"
"ko04972","K04632"
"ko04972","K08041"
"ko04972","K08042"
"ko04972","K08043"
"ko04972","K08044"
"ko04972","K08045"
"ko04972","K08046"
"ko04972","K08047"
"ko04972","K08048"
"ko04972","K08049"
"ko04972","K05031"
"ko04972","K14078"
"ko04972","K13575"
"ko04972","K18245"
"ko04970","K04141"
"ko04970","K04142"
"ko04970","K04143"
"ko04970","K04632"
"ko04970","K08041"
"ko04970","K08042"
"ko04970","K08043"
"ko04970","K08044"
"ko04970","K08045"
"ko04970","K08046"
"ko04970","K08047"
"ko04970","K08048"
"ko04970","K08049"
"ko04970","K04345"
"ko04970","K13504"
"ko04970","K04135"
"ko04970","K04136"
"ko04970","K04137"
"ko04970","K04131"
"ko04970","K04634"
"ko04970","K05858"
"ko04970","K02677"
"ko04970","K19662"
"ko04970","K19663"
"ko04970","K04958"
"ko04970","K04959"
"ko04970","K04960"
"ko04970","K04963"
"ko04970","K02183"
"ko04970","K13240"
"ko04970","K12318"
"ko04970","K12319"
"ko04970","K07376"
"ko04970","K19477"
"ko04970","K01242"
"ko04970","K18152"
"ko04970","K13879"
"ko04970","K09867"
"ko04970","K01539"
"ko04970","K01540"
"ko04970","K01538"
"ko04970","K05850"
"ko04970","K10951"
"ko04970","K04945"
"ko04970","K04936"
"ko04970","K13855"
"ko04970","K05742"
"ko04970","K04975"
"ko04970","K13908"
"ko04970","K13909"
"ko04970","K13910"
"ko04970","K13911"
"ko04970","K13912"
"ko04970","K13897"
"ko04970","K13898"
"ko04970","K13899"
"ko04970","K13900"
"ko04970","K13901"
"ko04970","K13913"
"ko04970","K13914"
"ko04970","K13915"
"ko04970","K12550"
"ko04970","K13916"
"ko00760","K00278"
"ko00760","K06989"
"ko00760","K03517"
"ko00760","K00767"
